"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","04/05/2013","16:25:47","","collection crustacea is undefined"
"ERROR","web-0","04/05/2013","19:32:55","","collection crustacea is undefined"
"ERROR","web-0","04/05/2013","23:31:17","","collection crustacea is undefined"
"ERROR","web-0","04/05/2013","23:31:31","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","00:31:31","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","00:56:45","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","03:17:50","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","03:17:54","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","03:44:43","","collection crustacea is undefined"
"ERROR","web-0","04/06/2013","21:02:09","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","08:05:00","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","08:05:12","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","13:56:31","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","13:56:46","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","21:45:51","","collection crustacea is undefined"
"ERROR","web-0","04/07/2013","22:17:33","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","02:13:39","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","03:00:26","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","11:38:15","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","14:32:46","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","16:16:44","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","16:17:01","","collection crustacea is undefined"
"ERROR","web-0","04/08/2013","16:17:17","","collection crustacea is undefined"
"ERROR","web-0","04/09/2013","12:10:34","","collection crustacea is undefined"
"ERROR","web-0","04/10/2013","00:00:06","","collection crustacea is undefined"
"ERROR","web-0","04/10/2013","00:00:11","","collection crustacea is undefined"
"ERROR","web-0","04/10/2013","06:04:42","","collection crustacea is undefined"
"ERROR","web-0","04/11/2013","00:10:46","","collection crustacea is undefined"
"ERROR","web-0","04/11/2013","00:10:54","","collection crustacea is undefined"
"ERROR","web-0","04/11/2013","05:31:53","","collection crustacea is undefined"
"ERROR","web-0","04/11/2013","05:32:10","","collection crustacea is undefined"
"ERROR","web-0","04/11/2013","23:14:37","","collection crustacea is undefined"
"ERROR","web-0","04/12/2013","11:29:49","","collection crustacea is undefined"
"ERROR","web-0","04/12/2013","11:30:00","","collection crustacea is undefined"
"ERROR","web-0","04/13/2013","02:37:42","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:06:37","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:43:05","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:43:18","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:43:28","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:45:24","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","01:48:30","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","06:45:00","","collection crustacea is undefined"
"ERROR","web-0","04/14/2013","06:45:06","","collection crustacea is undefined"
"ERROR","web-0","04/15/2013","14:06:24","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","00:54:39","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","03:27:45","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","03:41:06","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","03:43:16","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","13:11:19","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","13:11:26","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","20:39:05","","collection crustacea is undefined"
"ERROR","web-0","04/16/2013","21:08:44","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","00:36:42","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","00:37:08","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","00:37:44","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","01:55:31","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","05:02:27","","collection crustacea is undefined"
"ERROR","web-0","04/17/2013","17:28:14","","collection crustacea is undefined"
"ERROR","web-0","04/18/2013","04:58:50","","collection crustacea is undefined"
"ERROR","web-0","04/18/2013","04:58:56","","collection crustacea is undefined"
"ERROR","web-0","04/18/2013","05:02:45","","collection crustacea is undefined"
"ERROR","web-0","04/18/2013","05:08:05","","collection crustacea is undefined"
"ERROR","web-0","04/18/2013","14:33:26","","collection crustacea is undefined"
"ERROR","web-0","04/19/2013","06:59:45","","collection crustacea is undefined"
"ERROR","web-0","04/19/2013","19:40:32","","collection crustacea is undefined"
"ERROR","web-0","04/19/2013","19:40:39","","collection crustacea is undefined"
"ERROR","web-0","04/20/2013","01:56:29","","collection crustacea is undefined"
"ERROR","web-0","04/20/2013","17:02:02","","collection crustacea is undefined"
"ERROR","web-0","04/21/2013","15:55:33","","collection crustacea is undefined"
